Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,22,TOR,NBA,PG,37,0,7.9,1.1,3.0,.351,0.3,0.8,.379,0.8,2.2,.341,.401,0.5,0.6,.818,0.1,1.0,1.1,0.9,0.4,0.1,0.4,1.0,2.9
2017-18,23,TOR,NBA,PG,76,0,20.0,3.1,7.2,.426,1.4,3.4,.414,1.6,3.7,.437,.525,1.1,1.3,.832,0.3,2.1,2.4,3.2,0.9,0.3,1.0,1.7,8.6
2018-19,24,TOR,NBA,PG,64,28,27.5,3.8,9.4,.410,1.8,4.6,.378,2.1,4.8,.441,.503,1.5,1.8,.843,0.3,2.3,2.6,4.8,0.9,0.3,1.3,1.7,11.0
2019-20,25,TOR,NBA,PG,14,14,37.6,5.7,14.5,.394,2.5,6.5,.385,3.2,8.0,.402,.480,3.7,4.1,.897,0.1,3.9,4.0,7.6,1.9,0.1,2.4,2.4,17.6
Career,,,NBA,,191,42,21.5,3.1,7.6,.409,1.4,3.5,.393,1.7,4.1,.423,.500,1.3,1.5,.848,0.3,2.1,2.4,3.6,0.9,0.2,1.1,1.6,9.0
