Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,19,OKC,NBA,SG,61,12,12.5,1.1,2.8,.414,0.7,2.0,.333,0.5,0.8,.612,.533,0.1,0.2,.900,0.3,0.5,0.8,0.3,0.4,0.2,0.2,1.4,3.1
2018-19,20,OKC,NBA,SG,74,74,26.1,2.5,5.8,.429,1.4,3.9,.366,1.1,1.9,.560,.552,0.5,0.7,.725,0.4,1.5,1.9,1.0,0.5,0.2,0.6,3.1,6.9
2019-20,21,OKC,NBA,SF,15,15,25.7,2.1,4.6,.464,1.2,3.1,.391,0.9,1.5,.609,.594,0.2,0.2,1.000,0.7,1.3,2.0,1.1,0.5,0.4,0.6,3.0,5.7
Career,,,NBA,,150,101,20.5,1.9,4.5,.429,1.1,3.0,.360,0.8,1.4,.577,.552,0.3,0.4,.766,0.4,1.0,1.5,0.7,0.5,0.2,0.4,2.4,5.2
