Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,25,GSW,NBA,PF,1,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-19,26,TOR,NBA,PF,28,0,5.8,1.2,2.7,.447,0.4,1.3,.324,0.8,1.4,.564,.526,0.5,0.5,.867,0.6,1.4,2.0,0.1,0.2,0.9,0.3,1.1,3.3
2019-20,27,TOR,NBA,PF,11,0,11.5,1.8,4.3,.426,0.5,1.5,.313,1.4,2.8,.484,.479,0.7,1.2,.615,1.8,2.0,3.8,0.4,0.5,1.1,0.4,1.5,4.8
Career,,,NBA,,40,0,7.3,1.4,3.1,.435,0.4,1.4,.315,0.9,1.8,.529,.504,0.5,0.7,.750,0.9,1.6,2.5,0.2,0.3,0.9,0.3,1.2,3.7
