Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,23,MIN,NBA,SF,30,3,16.8,2.0,4.7,.423,0.4,1.7,.250,1.6,3.0,.522,.468,0.6,0.9,.643,0.5,2.2,2.8,0.6,0.6,0.5,0.5,1.0,5.0
2019-20,24,MIN,NBA,SF,4,0,9.5,0.8,1.5,.500,0.5,1.0,.500,0.3,0.5,.500,.667,0.8,0.8,1.000,0.3,1.3,1.5,0.0,0.3,0.5,0.5,0.8,2.8
Career,,,NBA,,34,3,15.9,1.9,4.4,.426,0.4,1.6,.268,1.4,2.7,.522,.476,0.6,0.9,.677,0.5,2.1,2.6,0.5,0.6,0.5,0.5,0.9,4.8
