Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,20,BOS,NBA,SF,78,20,17.2,2.5,5.4,.454,0.6,1.7,.341,1.9,3.7,.507,.508,1.1,1.6,.685,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,6.6
2017-18,21,BOS,NBA,SG,70,70,30.7,5.3,11.5,.465,1.7,4.4,.395,3.6,7.1,.507,.540,2.1,3.3,.644,0.9,4.0,4.9,1.6,1.0,0.4,1.8,2.6,14.5
2018-19,22,BOS,NBA,SG,74,25,25.9,5.0,10.7,.465,1.3,3.7,.344,3.7,7.0,.529,.525,1.8,2.7,.658,0.9,3.4,4.2,1.4,0.9,0.4,1.3,2.5,13.0
2019-20,23,BOS,NBA,SF,13,13,33.3,7.2,15.1,.474,1.8,4.8,.365,5.4,10.2,.526,.533,3.2,4.3,.732,1.1,6.1,7.2,2.2,1.1,0.2,1.5,3.2,19.2
Career,,,NBA,,235,128,24.8,4.4,9.4,.463,1.2,3.3,.365,3.2,6.1,.517,.528,1.7,2.6,.665,0.8,3.3,4.1,1.3,0.8,0.3,1.3,2.3,11.7
