Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,24,UTA,NBA,SF,69,4,16.7,1.7,4.1,.423,0.6,1.7,.356,1.1,2.4,.470,.496,0.9,1.1,.803,0.4,3.1,3.4,1.4,0.5,0.2,0.8,1.5,5.0
2018-19,25,UTA,NBA,SF,82,16,20.4,2.0,4.2,.475,0.8,2.1,.386,1.2,2.0,.569,.574,0.4,0.5,.762,0.3,3.2,3.5,1.5,0.7,0.3,0.9,2.1,5.2
2019-20,26,UTA,NBA,PF,13,12,28.3,2.2,4.2,.527,1.1,2.2,.483,1.2,2.0,.577,.655,0.6,0.6,1.000,0.1,4.7,4.8,2.2,0.8,0.3,0.9,2.8,6.2
Career,,,NBA,,164,32,19.4,1.9,4.2,.457,0.8,2.0,.384,1.1,2.2,.524,.548,0.6,0.8,.802,0.3,3.3,3.6,1.5,0.6,0.3,0.8,1.9,5.2
