Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,23,LAC,NBA,SG,12,3,8.3,0.9,1.9,.478,0.1,0.4,.200,0.8,1.5,.556,.500,0.3,0.4,.800,0.1,1.3,1.3,1.4,0.2,0.0,0.6,1.0,2.3
Career,,,NBA,,12,3,8.3,0.9,1.9,.478,0.1,0.4,.200,0.8,1.5,.556,.500,0.3,0.4,.800,0.1,1.3,1.3,1.4,0.2,0.0,0.6,1.0,2.3
