Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,19,CHO,NBA,SG,63,0,13.6,2.4,6.7,.360,1.3,3.9,.342,1.1,2.9,.385,.458,0.5,0.6,.842,0.1,0.9,1.0,1.4,0.3,0.1,0.8,1.0,6.7
2018-19,20,CHO,NBA,SG,73,0,17.2,3.1,8.0,.387,1.5,4.5,.330,1.6,3.5,.461,.480,1.2,1.4,.882,0.2,1.7,1.9,1.6,0.5,0.3,1.2,1.5,8.9
2019-20,21,CHO,NBA,SG,14,0,21.0,3.9,8.3,.474,1.1,3.7,.288,2.9,4.6,.625,.539,1.0,1.4,.737,0.3,2.6,2.9,2.5,0.2,0.3,1.8,1.9,9.9
Career,,,NBA,,150,0,16.0,2.9,7.5,.386,1.4,4.2,.331,1.5,3.3,.454,.478,0.9,1.1,.855,0.2,1.4,1.6,1.6,0.4,0.2,1.1,1.3,8.1
