Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,20,CHI,NBA,PF,68,68,29.7,5.5,12.7,.434,2.1,5.9,.362,3.4,6.8,.497,.518,2.1,2.4,.843,1.2,6.3,7.5,1.2,0.6,0.6,1.2,1.5,15.2
2018-19,21,CHI,NBA,PF,52,51,32.3,6.6,15.3,.430,2.3,6.4,.361,4.3,8.9,.479,.506,3.3,3.8,.872,1.4,7.6,9.0,1.4,0.7,0.6,1.6,2.3,18.7
2019-20,22,CHI,NBA,PF,16,16,30.0,4.3,11.8,.365,1.6,5.6,.278,2.8,6.2,.444,.431,4.3,5.3,.810,1.0,6.6,7.6,1.6,0.9,0.6,2.1,2.1,14.4
Career,,,NBA,,136,135,30.8,5.8,13.6,.425,2.1,6.1,.352,3.6,7.5,.484,.504,2.8,3.3,.849,1.2,6.8,8.1,1.3,0.7,0.6,1.5,1.9,16.5
