Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,23,PHO,NBA,SF,10,0,17.3,2.7,6.4,.422,1.7,4.3,.395,1.0,2.1,.476,.555,1.1,1.2,.917,0.8,2.3,3.1,0.7,0.3,0.3,0.8,1.7,8.2
Career,,,NBA,,10,0,17.3,2.7,6.4,.422,1.7,4.3,.395,1.0,2.1,.476,.555,1.1,1.2,.917,0.8,2.3,3.1,0.7,0.3,0.3,0.8,1.7,8.2
