Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,20,SAC,NBA,PF,33,12,18.5,3.5,6.6,.537,0.1,0.2,.375,3.5,6.4,.543,.544,1.6,2.2,.703,1.5,3.4,4.9,0.8,0.5,0.4,1.1,1.9,8.8
2017-18,21,SAC,NBA,PF,60,28,20.7,3.4,7.6,.448,0.3,0.9,.353,3.1,6.8,.459,.467,1.6,2.0,.805,1.7,3.2,4.8,1.2,0.4,0.8,1.2,2.2,8.7
2018-19,22,TOT,NBA,PF,22,1,8.0,1.2,2.2,.531,0.3,0.6,.462,0.9,1.6,.556,.592,0.4,0.8,.529,0.4,1.5,2.0,0.5,0.2,0.3,0.5,1.3,3.0
2018-19,22,SAC,NBA,PF,13,0,8.7,1.0,2.3,.433,0.3,0.8,.364,0.7,1.5,.474,.500,0.5,0.8,.545,0.3,1.5,1.8,0.5,0.2,0.2,0.5,1.6,2.8
2018-19,22,POR,NBA,PF,9,1,7.0,1.4,2.1,.684,0.2,0.2,1.000,1.2,1.9,.647,.737,0.3,0.7,.500,0.6,1.6,2.1,0.6,0.3,0.3,0.4,0.9,3.4
2019-20,23,POR,NBA,PF,14,0,15.1,2.2,4.1,.534,0.0,0.1,.000,2.2,4.0,.554,.534,0.9,1.4,.650,2.2,2.4,4.6,1.1,0.1,1.0,1.4,2.6,5.4
Career,,,NBA,,129,41,17.4,2.9,6.1,.484,0.2,0.6,.365,2.7,5.5,.496,.501,1.3,1.8,.738,1.5,2.9,4.3,1.0,0.4,0.6,1.1,2.0,7.4
