Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,21,DET,NBA,PG,34,1,13.4,1.5,5.0,.302,0.4,1.9,.185,1.1,3.1,.375,.337,0.9,1.0,.912,0.1,1.3,1.4,3.1,0.6,0.2,1.0,1.6,4.3
2015-16,22,DET,NBA,PG,12,0,13.3,1.6,4.5,.352,0.1,0.8,.100,1.5,3.7,.409,.361,1.6,2.8,.576,0.3,1.1,1.4,1.8,0.3,0.0,0.6,1.7,4.8
2016-17,23,BRK,NBA,PG,59,18,22.6,2.3,5.1,.444,0.6,1.7,.376,1.6,3.4,.478,.507,2.1,2.7,.792,0.5,2.3,2.8,3.1,0.7,0.4,1.1,2.0,7.3
2017-18,24,BRK,NBA,PG,80,58,28.8,4.1,10.5,.387,1.8,5.4,.326,2.3,5.1,.452,.471,2.7,3.4,.813,0.5,2.7,3.2,6.6,0.9,0.3,1.6,2.3,12.6
2018-19,25,BRK,NBA,PG,68,4,28.1,5.4,12.2,.442,1.8,5.4,.335,3.6,6.7,.528,.517,4.2,5.2,.806,0.4,2.1,2.4,4.6,0.6,0.3,2.2,2.8,16.8
2019-20,26,BRK,NBA,SG,13,2,26.9,5.8,13.8,.417,1.7,5.6,.301,4.1,8.2,.495,.478,5.2,6.3,.829,0.2,2.2,2.4,4.8,0.7,0.5,2.5,3.5,18.5
Career,,,NBA,,266,83,24.5,3.6,8.9,.409,1.3,4.0,.321,2.4,5.0,.478,.480,2.8,3.5,.804,0.4,2.2,2.6,4.5,0.7,0.3,1.6,2.3,11.4
