Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,20,NOP,NBA,PF,17,0,11.7,2.1,4.5,.474,0.0,0.0,,2.1,4.5,.474,.474,0.9,1.2,.714,1.4,2.9,4.3,0.2,0.2,0.4,0.4,1.0,5.1
2017-18,21,NOP,NBA,PF,52,0,11.2,2.0,3.4,.580,0.0,0.0,,2.0,3.4,.580,.580,1.0,1.3,.758,0.9,3.2,4.1,0.4,0.2,0.4,0.5,1.6,4.9
2018-19,22,NOP,NBA,PF,64,1,14.0,2.6,4.2,.620,0.0,0.1,.250,2.6,4.2,.625,.622,0.8,1.0,.746,1.2,4.0,5.2,0.5,0.5,0.5,0.8,1.8,6.0
2019-20,23,PHO,NBA,C,8,0,4.4,0.9,1.3,.700,0.0,0.0,,0.9,1.3,.700,.700,0.4,0.5,.750,0.1,1.1,1.3,0.1,0.0,0.3,0.3,0.6,2.1
Career,,,NBA,,141,1,12.1,2.2,3.8,.587,0.0,0.0,.250,2.2,3.8,.590,.588,0.8,1.1,.747,1.0,3.4,4.4,0.4,0.3,0.4,0.6,1.5,5.3
