Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015-16,23,CHI,NBA,C,31,4,10.4,1.3,2.3,.556,0.0,0.1,.000,1.3,2.2,.588,.556,0.8,1.1,.714,1.0,2.3,3.3,0.8,0.2,0.4,0.4,1.0,3.4
2016-17,24,CHI,NBA,C,66,0,15.8,1.9,3.3,.579,0.0,0.0,,1.9,3.3,.579,.579,0.9,1.4,.645,1.9,2.8,4.7,0.6,0.4,0.3,0.5,1.7,4.8
2017-18,25,CHI,NBA,C,55,16,17.8,2.3,3.9,.591,0.0,0.0,.000,2.3,3.9,.596,.591,1.0,1.5,.667,1.5,2.7,4.2,1.0,0.3,0.2,1.0,1.9,5.6
2018-19,26,CHI,NBA,C,60,0,12.4,1.6,3.0,.531,0.0,0.1,.000,1.6,2.9,.543,.531,0.8,1.2,.685,1.3,2.3,3.6,0.6,0.2,0.1,0.6,1.2,4.0
Career,,,NBA,,212,20,14.5,1.8,3.2,.568,0.0,0.0,.000,1.8,3.2,.576,.568,0.9,1.3,.670,1.5,2.6,4.1,0.7,0.3,0.2,0.6,1.5,4.6
