Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,22,DEN,NBA,PG,3,0,8.3,1.3,2.0,.667,0.0,0.3,.000,1.3,1.7,.800,.667,0.7,0.7,1.000,0.0,0.7,0.7,2.3,1.0,0.0,0.3,0.3,3.3
2018-19,23,DEN,NBA,PG,82,6,24.0,4.2,8.6,.493,1.1,2.8,.414,3.1,5.8,.531,.560,0.8,1.0,.802,0.4,1.9,2.4,3.6,0.9,0.0,0.6,1.2,10.4
2019-20,24,DEN,NBA,PG,12,0,18.0,2.9,7.1,.412,0.5,1.1,.462,2.4,6.0,.403,.447,0.8,1.1,.769,0.3,1.4,1.7,3.8,0.4,0.2,0.6,0.6,7.2
Career,,,NBA,,97,6,22.8,4.0,8.2,.485,1.0,2.5,.415,2.9,5.7,.516,.549,0.8,1.0,.802,0.4,1.8,2.2,3.6,0.8,0.1,0.6,1.1,9.8
