Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,20,PHO,NBA,PG,50,31,19.7,2.0,5.1,.391,0.6,1.9,.305,1.4,3.2,.441,.447,0.4,0.6,.750,0.5,2.2,2.7,3.2,1.4,0.5,1.5,2.3,5.0
2019-20,21,MEM,NBA,PG,5,0,9.0,1.6,4.0,.400,0.6,1.6,.375,1.0,2.4,.417,.475,0.4,0.8,.500,0.2,1.4,1.6,1.4,1.0,0.2,0.8,0.4,4.2
Career,,,NBA,,55,31,18.7,2.0,5.0,.391,0.6,1.9,.311,1.4,3.1,.439,.449,0.4,0.6,.719,0.5,2.1,2.6,3.0,1.3,0.4,1.4,2.1,4.9
