Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,19,LAL,NBA,SF,79,40,28.8,3.5,8.7,.402,0.7,2.4,.294,2.8,6.3,.443,.442,1.7,2.7,.621,0.8,3.2,4.0,2.1,0.6,0.5,1.5,2.0,9.4
2017-18,20,LAL,NBA,SF,59,59,33.5,6.1,12.9,.470,0.7,1.8,.390,5.4,11.1,.483,.497,3.3,4.8,.681,1.0,4.4,5.3,3.9,0.8,0.7,2.5,2.8,16.1
2018-19,21,LAL,NBA,SG,16,16,31.9,6.1,13.0,.471,0.6,1.9,.333,5.5,11.1,.494,.495,2.8,4.3,.662,0.8,3.7,4.4,2.1,0.8,0.6,2.4,2.9,15.7
Career,,,NBA,,154,115,30.9,4.8,10.7,.442,0.7,2.1,.329,4.1,8.7,.470,.474,2.4,3.7,.656,0.8,3.7,4.6,2.8,0.7,0.6,2.0,2.4,12.6
