Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,24,LAL,NBA,SG,20,2,19.9,2.4,4.1,.580,0.1,0.3,.200,2.3,3.8,.605,.586,1.3,2.0,.641,0.9,2.3,3.2,0.7,0.7,0.4,0.6,1.8,6.0
2017-18,25,CHI,NBA,SG,70,21,23.5,2.9,6.0,.478,0.3,0.7,.346,2.6,5.3,.496,.499,1.9,2.9,.655,1.3,3.4,4.7,1.5,0.8,0.4,1.1,2.3,7.9
2018-19,26,CLE,NBA,SG,51,14,19.3,2.5,5.1,.481,0.5,1.5,.320,2.0,3.7,.545,.527,1.1,1.7,.682,0.8,2.4,3.2,1.1,0.7,0.3,0.6,2.1,6.5
2019-20,27,BRK,NBA,SG,9,0,10.7,0.7,1.1,.600,0.1,0.3,.333,0.6,0.8,.714,.650,0.6,0.9,.625,0.3,2.0,2.3,0.3,0.2,0.7,0.6,1.4,2.0
Career,,,NBA,,150,37,20.8,2.5,5.2,.491,0.3,0.9,.326,2.2,4.3,.526,.519,1.5,2.2,.660,1.0,2.8,3.8,1.2,0.7,0.4,0.8,2.1,6.8
