Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,20,OKC,NBA,PF,81,66,20.1,2.4,5.9,.399,0.6,2.0,.321,1.7,4.0,.438,.452,0.5,0.8,.657,0.6,3.0,3.6,1.0,0.5,0.4,1.0,2.5,5.9
2017-18,21,IND,NBA,C,74,19,24.5,4.6,8.9,.514,0.2,0.5,.351,4.4,8.4,.524,.524,2.3,3.0,.750,2.2,5.5,7.7,2.0,0.5,0.4,1.9,3.0,11.6
2018-19,22,IND,NBA,C,74,5,24.8,5.6,9.5,.590,0.1,0.2,.529,5.5,9.2,.592,.596,2.8,3.9,.715,2.5,6.8,9.3,2.9,0.6,0.4,2.2,3.2,14.1
2019-20,23,IND,NBA,C,12,12,34.1,7.4,15.2,.489,0.4,1.3,.313,7.0,13.8,.506,.503,3.3,4.0,.833,3.9,9.8,13.8,3.6,0.6,0.8,2.6,3.7,18.6
Career,,,NBA,,241,102,23.6,4.3,8.4,.511,0.3,1.0,.341,4.0,7.4,.533,.530,1.9,2.6,.730,1.8,5.3,7.1,2.0,0.6,0.4,1.7,2.9,10.8
