Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,25,WAS,NBA,SG,57,3,12.6,1.1,2.6,.415,0.2,0.6,.243,0.9,1.9,.473,.446,0.4,0.6,.697,0.4,1.0,1.5,1.6,0.5,0.1,0.7,1.1,2.7
2017-18,26,WAS,NBA,SG,73,30,22.5,2.8,5.3,.523,0.6,1.4,.465,2.1,3.9,.544,.585,1.0,1.3,.781,1.0,2.2,3.2,3.9,0.7,0.2,1.1,1.8,7.2
2018-19,27,WAS,NBA,PG,80,54,27.1,3.2,6.6,.485,0.8,2.0,.395,2.4,4.6,.524,.545,1.6,2.0,.819,1.0,2.5,3.5,5.0,1.0,0.2,1.5,2.2,8.9
2019-20,28,CHI,NBA,PG,16,16,25.3,3.1,6.9,.450,1.2,2.6,.452,1.9,4.3,.449,.536,1.0,1.1,.889,0.7,2.4,3.1,4.8,1.4,0.1,2.1,2.3,8.4
Career,,,NBA,,226,103,21.8,2.5,5.2,.485,0.6,1.5,.406,1.9,3.7,.518,.545,1.1,1.4,.798,0.8,2.0,2.8,3.8,0.8,0.2,1.2,1.8,6.7
