Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015-16,20,MIN,NBA,C,82,82,32.0,7.6,14.1,.542,0.4,1.1,.341,7.3,13.0,.559,.555,2.7,3.4,.811,2.8,7.7,10.5,2.0,0.7,1.7,2.2,3.0,18.3
2016-17,21,MIN,NBA,C,82,82,37.0,9.8,18.0,.542,1.2,3.4,.367,8.5,14.7,.582,.576,4.3,5.2,.832,3.6,8.7,12.3,2.7,0.7,1.3,2.6,2.9,25.1
2017-18,22,MIN,NBA,C,82,82,35.6,7.8,14.3,.545,1.5,3.5,.421,6.3,10.8,.585,.596,4.2,4.9,.858,2.9,9.4,12.3,2.4,0.8,1.4,1.9,3.5,21.3
2018-19,23,MIN,NBA,C,23,23,33.6,7.3,15.1,.487,1.8,4.6,.396,5.5,10.5,.527,.548,4.0,4.5,.894,3.2,8.8,12.0,2.3,0.8,1.6,3.5,3.6,20.6
Career,,,NBA,,269,269,34.8,8.3,15.4,.538,1.1,2.8,.389,7.2,12.6,.572,.574,3.8,4.5,.841,3.1,8.6,11.7,2.3,0.7,1.5,2.4,3.2,21.5
