Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,19,BOS,NBA,SF,80,80,30.5,5.0,10.4,.475,1.3,3.0,.434,3.7,7.4,.492,.538,2.7,3.2,.826,0.6,4.4,5.0,1.6,1.0,0.7,1.4,2.1,13.9
2018-19,20,BOS,NBA,SF,79,79,31.1,5.9,13.1,.450,1.5,3.9,.373,4.4,9.2,.483,.506,2.5,2.9,.855,0.9,5.2,6.0,2.1,1.1,0.7,1.5,2.1,15.7
2019-20,21,BOS,NBA,PF,12,12,34.4,7.3,18.3,.395,2.3,6.1,.384,4.9,12.3,.401,.459,2.8,3.5,.810,1.6,5.6,7.2,2.3,1.5,0.6,1.8,2.3,19.7
Career,,,NBA,,171,171,31.0,5.6,12.2,.454,1.5,3.7,.398,4.1,8.6,.478,.514,2.6,3.1,.837,0.8,4.8,5.6,1.9,1.1,0.7,1.5,2.1,15.2
