Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015-16,20,DEN,NBA,C,80,55,21.7,3.8,7.5,.512,0.4,1.1,.333,3.5,6.5,.541,.535,1.9,2.4,.811,2.3,4.7,7.0,2.4,1.0,0.6,1.3,2.6,10.0
2016-17,21,DEN,NBA,C,73,59,27.9,6.8,11.7,.578,0.6,1.9,.324,6.2,9.8,.628,.605,2.6,3.1,.825,2.9,6.9,9.8,4.9,0.8,0.8,2.3,2.9,16.7
2017-18,22,DEN,NBA,C,75,73,32.6,6.7,13.5,.499,1.5,3.7,.396,5.2,9.7,.538,.554,3.5,4.2,.850,2.6,8.1,10.7,6.1,1.2,0.8,2.8,2.8,18.5
2018-19,23,DEN,NBA,C,80,80,31.3,7.7,15.1,.511,1.0,3.4,.307,6.7,11.7,.569,.545,3.6,4.4,.821,2.9,8.0,10.8,7.3,1.4,0.7,3.1,2.9,20.1
2019-20,24,DEN,NBA,C,14,14,30.9,6.9,14.9,.466,1.1,4.6,.246,5.8,10.2,.566,.505,2.3,2.9,.780,2.0,7.5,9.5,6.1,1.2,0.6,2.6,3.4,17.3
Career,,,NBA,,322,281,28.4,6.3,12.0,.520,0.9,2.6,.338,5.4,9.4,.571,.557,2.9,3.5,.827,2.6,6.9,9.6,5.2,1.1,0.7,2.4,2.8,16.3
