Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,22,PHI,NBA,C,31,31,25.4,6.5,13.8,.466,1.2,3.2,.367,5.3,10.7,.495,.508,6.2,7.9,.783,2.0,5.9,7.8,2.1,0.9,2.5,3.8,3.6,20.2
2017-18,23,PHI,NBA,C,63,63,30.3,8.1,16.8,.483,1.0,3.4,.308,7.0,13.4,.527,.514,5.7,7.4,.769,2.3,8.7,11.0,3.2,0.6,1.8,3.7,3.3,22.9
2018-19,24,PHI,NBA,C,23,23,34.6,9.1,19.2,.474,1.3,4.3,.306,7.8,14.9,.522,.508,8.5,10.6,.807,2.2,11.1,13.3,3.7,0.5,2.0,3.2,3.5,28.0
Career,,,NBA,,117,117,29.9,7.9,16.5,.477,1.1,3.5,.322,6.7,13.0,.519,.511,6.4,8.2,.782,2.2,8.4,10.6,3.0,0.7,2.0,3.6,3.4,23.2
