Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,20,GSW,NBA,SG,18,9,26.3,2.9,10.8,.268,1.3,5.4,.245,1.6,5.3,.292,.330,1.8,2.1,.892,0.2,2.4,2.7,2.4,0.7,0.2,1.4,2.3,8.9
Career,,,NBA,,18,9,26.3,2.9,10.8,.268,1.3,5.4,.245,1.6,5.3,.292,.330,1.8,2.1,.892,0.2,2.4,2.7,2.4,0.7,0.2,1.4,2.3,8.9
