Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,23,ORL,NBA,SF,62,12,16.5,1.5,3.5,.427,0.1,0.7,.196,1.4,2.8,.488,.447,0.5,0.8,.723,0.6,1.6,2.2,0.9,0.5,0.2,0.5,1.3,3.7
2018-19,24,ORL,NBA,SF,68,13,18.1,1.7,4.0,.412,0.4,1.2,.367,1.2,2.9,.431,.465,1.2,1.5,.816,0.5,2.2,2.7,1.1,0.4,0.3,0.6,1.8,5.0
2019-20,25,ORL,NBA,SF,6,0,9.8,0.3,2.2,.154,0.0,1.0,.000,0.3,1.2,.286,.154,1.8,2.3,.786,0.5,1.8,2.3,0.7,0.2,0.2,0.5,0.3,2.5
Career,,,NBA,,136,25,17.0,1.5,3.7,.412,0.3,1.0,.290,1.3,2.8,.455,.450,0.9,1.2,.787,0.6,1.9,2.5,1.0,0.5,0.3,0.6,1.5,4.3
