Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,23,BOS,NBA,PF,73,0,15.8,0.9,2.6,.346,0.5,1.7,.320,0.3,0.9,.397,.452,0.3,0.6,.610,0.5,1.7,2.2,0.3,0.3,0.1,0.3,1.2,2.7
2018-19,24,BOS,NBA,PF,56,3,10.6,1.2,2.8,.424,0.5,1.6,.315,0.7,1.2,.565,.513,0.4,0.7,.615,0.4,1.1,1.5,0.4,0.2,0.1,0.3,0.8,3.3
2019-20,25,BOS,NBA,PF,13,0,10.5,0.8,1.5,.500,0.4,0.8,.500,0.4,0.8,.500,.625,0.2,0.4,.600,0.2,0.9,1.2,0.3,0.3,0.0,0.2,0.8,2.2
Career,,,NBA,,142,3,13.2,1.0,2.6,.388,0.5,1.6,.326,0.5,1.0,.486,.488,0.4,0.6,.612,0.5,1.4,1.8,0.3,0.2,0.1,0.3,1.0,2.9
