Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,23,MEM,NBA,PG,39,3,14.8,1.4,4.7,.303,0.9,2.6,.333,0.6,2.1,.265,.395,0.7,0.8,.813,0.4,1.3,1.7,1.8,0.7,0.3,0.8,1.4,4.4
2019-20,24,PHO,NBA,PG,11,2,16.4,1.5,3.8,.381,1.0,2.5,.407,0.5,1.4,.333,.512,0.4,0.4,1.000,0.2,1.6,1.8,1.9,1.0,0.5,1.3,1.8,4.3
Career,,,NBA,,50,5,15.1,1.4,4.5,.317,0.9,2.6,.349,0.5,2.0,.276,.416,0.6,0.7,.833,0.3,1.4,1.7,1.8,0.7,0.3,0.9,1.5,4.4
