Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,24,PHO,NBA,PG,23,2,16.7,2.6,5.4,.476,0.3,1.1,.231,2.3,4.3,.541,.500,1.2,1.7,.737,0.4,2.3,2.7,2.4,1.1,0.3,1.0,1.8,6.6
2018-19,25,CHI,NBA,PG,73,11,19.6,2.5,5.8,.432,0.3,1.2,.270,2.2,4.6,.475,.460,1.1,1.7,.667,0.5,2.6,3.0,1.9,1.2,0.4,0.8,1.7,6.5
2019-20,26,CHI,NBA,PG,7,0,3.4,0.4,1.6,.273,0.0,0.1,.000,0.4,1.4,.300,.273,0.6,0.9,.667,0.0,1.1,1.1,0.3,0.0,0.1,0.0,0.6,1.4
Career,,,NBA,,103,13,17.8,2.4,5.4,.439,0.3,1.1,.259,2.1,4.3,.485,.465,1.1,1.6,.683,0.4,2.4,2.8,1.9,1.1,0.4,0.8,1.7,6.2
