Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,27,UTA,NBA,SF,79,32,21.2,1.9,4.5,.415,0.9,2.6,.356,0.9,1.9,.493,.517,0.4,0.5,.750,0.3,1.9,2.2,2.3,0.9,0.1,1.2,1.6,5.0
2015-16,28,UTA,NBA,SF,81,2,15.3,1.5,3.6,.426,1.0,2.6,.386,0.5,1.0,.531,.565,0.2,0.2,.722,0.2,1.6,1.9,1.2,0.7,0.0,0.8,1.2,4.2
2016-17,29,UTA,NBA,SF,82,26,24.0,2.5,5.5,.452,1.5,3.4,.441,1.0,2.1,.471,.589,0.6,0.8,.735,0.3,2.9,3.2,2.7,1.2,0.1,1.3,2.0,7.1
2017-18,30,UTA,NBA,SF,82,81,31.4,4.1,8.8,.467,2.5,5.7,.440,1.6,3.1,.516,.609,0.8,1.0,.795,0.3,3.9,4.2,4.8,1.1,0.2,1.9,2.2,11.5
2018-19,31,UTA,NBA,PF,82,82,31.3,4.4,9.8,.448,2.3,5.9,.391,2.1,3.9,.533,.565,1.1,1.5,.707,0.4,3.6,4.0,5.7,1.2,0.2,2.4,2.2,12.1
2019-20,32,UTA,NBA,SF,15,1,27.7,2.2,6.5,.340,1.3,4.3,.297,0.9,2.2,.424,.438,0.9,1.2,.778,0.3,3.9,4.2,3.5,0.7,0.1,1.5,2.3,6.6
Career,,,NBA,,421,224,24.8,2.9,6.4,.443,1.6,4.0,.404,1.2,2.4,.508,.570,0.6,0.8,.743,0.3,2.8,3.1,3.4,1.0,0.2,1.5,1.8,8.0
