Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,20,IND,NBA,PF,53,0,8.7,1.2,2.6,.471,0.3,0.8,.429,0.9,1.8,.489,.537,0.2,0.3,.625,0.5,1.0,1.5,0.2,0.1,0.1,0.2,0.8,2.9
2018-19,21,IND,NBA,PF,58,1,9.0,1.7,3.2,.541,0.1,0.5,.258,1.6,2.6,.599,.563,0.3,0.5,.613,0.7,1.4,2.2,0.4,0.2,0.3,0.2,0.6,3.9
2019-20,22,IND,NBA,PF,14,1,11.1,1.8,4.0,.446,0.4,0.8,.455,1.4,3.2,.444,.491,0.4,0.6,.625,1.4,2.6,4.0,0.4,0.4,0.2,0.4,1.0,4.3
Career,,,NBA,,125,2,9.1,1.5,3.0,.501,0.2,0.7,.369,1.3,2.3,.540,.543,0.3,0.4,.618,0.7,1.4,2.1,0.3,0.2,0.2,0.2,0.8,3.5
