Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,22,MIL,NBA,SG,54,4,14.4,1.5,3.8,.400,0.6,1.7,.352,0.9,2.1,.439,.478,0.4,0.4,.875,0.5,2.1,2.6,0.5,0.6,0.2,0.5,1.5,4.0
2018-19,23,MIL,NBA,SG,58,7,17.8,2.5,5.4,.465,0.9,2.5,.361,1.6,2.8,.558,.550,0.5,0.7,.690,0.5,2.7,3.2,1.4,0.4,0.1,0.8,1.5,6.4
2019-20,24,MIL,NBA,SF,14,0,17.3,2.1,5.1,.417,1.1,2.8,.385,1.1,2.4,.455,.521,0.7,0.9,.769,0.8,4.3,5.1,1.5,0.5,0.1,1.0,1.4,6.1
Career,,,NBA,,126,11,16.3,2.0,4.7,.436,0.8,2.2,.361,1.2,2.5,.503,.521,0.5,0.6,.759,0.5,2.6,3.2,1.0,0.5,0.2,0.7,1.5,5.3
