Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,24,MIL,NBA,SG,75,28,26.4,3.9,8.5,.457,1.0,2.6,.404,2.8,5.9,.480,.518,1.5,1.7,.865,0.6,2.2,2.8,4.2,1.1,0.2,1.5,1.9,10.2
2017-18,25,MIL,NBA,PG,48,20,29.9,5.1,10.5,.485,1.3,3.4,.385,3.8,7.1,.532,.547,1.6,1.8,.882,0.5,2.8,3.3,3.2,0.9,0.3,1.4,2.7,13.0
2018-19,26,MIL,NBA,SG,64,64,28.6,5.9,11.7,.505,1.6,3.8,.426,4.3,7.9,.544,.575,2.2,2.4,.928,1.0,3.5,4.5,3.2,0.7,0.2,1.4,1.6,15.6
2019-20,27,IND,NBA,PG,13,13,30.9,6.8,14.7,.466,1.4,4.3,.321,5.5,10.4,.526,.513,3.7,3.8,.980,0.5,4.4,4.9,8.2,1.0,0.2,2.9,2.2,18.8
Career,,,NBA,,200,125,28.3,5.0,10.4,.482,1.3,3.3,.401,3.7,7.1,.519,.545,1.9,2.1,.905,0.7,2.9,3.6,3.9,0.9,0.2,1.5,2.0,13.2
