Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,20,UTA,NBA,C,9,0,3.2,0.3,1.2,.273,0.0,0.1,.000,0.3,1.1,.300,.273,0.2,0.2,1.000,0.4,0.8,1.2,0.1,0.0,0.0,0.0,0.1,0.9
2018-19,21,UTA,NBA,C,3,0,12.0,2.7,5.3,.500,0.0,0.0,,2.7,5.3,.500,.500,0.3,0.7,.500,3.0,2.0,5.0,0.3,0.7,0.7,1.0,2.0,5.7
2019-20,22,UTA,NBA,C,10,0,9.1,1.6,2.8,.571,0.0,0.0,,1.6,2.8,.571,.571,0.7,1.2,.583,1.4,1.6,3.0,0.2,0.2,0.3,0.5,1.6,3.9
Career,,,NBA,,22,0,7.1,1.2,2.5,.491,0.0,0.0,.000,1.2,2.5,.500,.491,0.5,0.7,.625,1.2,1.3,2.5,0.2,0.2,0.2,0.4,1.0,2.9
